Date,1. open,2. high,3. low,4. close,5. volume
2024-01-25 19:00:00,157.34,157.47,157.23,157.39,71475
2024-01-25 18:00:00,157.45,157.7,157.3,157.395,51403
2024-01-25 17:00:00,157.6,157.75,147.084,157.5,81480
2024-01-25 16:00:00,157.79,158.0,153.15,157.62,7405301
2024-01-25 15:00:00,157.15,157.8,157.07,157.78,6380302
2024-01-25 14:00:00,156.9,157.175,156.205,157.16,4024896
2024-01-25 13:00:00,157.64,158.01,156.87,156.9,4056739
2024-01-25 12:00:00,158.21,158.335,157.485,157.64,3735951
2024-01-25 11:00:00,157.76,158.505,157.38,158.215,5709966
2024-01-25 10:00:00,156.07,157.815,155.8,157.75,6490792
2024-01-25 09:00:00,156.5,158.16,154.55,156.06,7762830
2024-01-25 08:00:00,156.76,157.85,155.26,156.5,590473
2024-01-25 07:00:00,156.66,156.9,155.29,155.46,276641
2024-01-25 06:00:00,157.0,157.05,156.35,156.65,71514
2024-01-25 05:00:00,157.68,157.69,156.87,157.04,42158
2024-01-25 04:00:00,157.3,157.8,157.3,157.7,16540
2024-01-24 19:00:00,157.27,157.45,157.18,157.33,43132
2024-01-24 18:00:00,157.08,157.339,157.01,157.27,42995
2024-01-24 17:00:00,157.05,157.22,156.87,157.1,98332
2024-01-24 16:00:00,156.85,157.395,156.74,157.07,14407580
2024-01-24 15:00:00,157.093,157.389,156.701,156.85,6602272
2024-01-24 14:00:00,157.48,157.7,156.665,157.1,3865670
2024-01-24 13:00:00,158.328,158.35,157.34,157.486,3774001
2024-01-24 12:00:00,157.65,158.51,157.6,158.32,6136872
2024-01-24 11:00:00,157.76,158.1,157.16,157.65,4637265
2024-01-24 10:00:00,156.577,157.935,156.48,157.755,6437435
2024-01-24 09:00:00,157.25,158.44,154.845,156.57,7679110
2024-01-24 08:00:00,156.02,157.99,156.02,157.29,373874
2024-01-24 07:00:00,157.61,157.68,157.1,157.19,106534
2024-01-24 06:00:00,157.79,157.92,157.61,157.63,19213
2024-01-24 05:00:00,157.89,157.99,157.7,157.8,24742
2024-01-24 04:00:00,157.55,157.97,156.53,157.89,40368
2024-01-23 19:00:00,156.8,156.99,156.7,156.95,53802
2024-01-23 18:00:00,156.63,156.94,156.55,156.8,62482
2024-01-23 17:00:00,156.71,163.585,147.702,156.66,890929
2024-01-23 16:00:00,156.03,156.79,155.376,156.71,9584923
2024-01-23 15:00:00,155.585,156.21,155.535,156.03,6223270
2024-01-23 14:00:00,155.345,155.7,155.09,155.581,3403071
2024-01-23 13:00:00,155.15,155.73,154.965,155.345,3913975
2024-01-23 12:00:00,154.525,155.17,154.14,155.145,3093294
2024-01-23 11:00:00,154.97,155.27,154.425,154.53,3595297
2024-01-23 10:00:00,154.96,155.25,154.54,154.975,4141155
2024-01-23 09:00:00,155.015,155.325,153.93,154.94,4888496
2024-01-23 08:00:00,154.6,155.26,154.174,155.015,488028
2024-01-23 07:00:00,154.48,154.92,154.36,154.9,57135
2024-01-23 06:00:00,154.55,154.84,154.45,154.49,20863
2024-01-23 05:00:00,154.52,154.65,154.22,154.55,12667
2024-01-23 04:00:00,154.35,154.88,154.16,154.55,28821
2024-01-22 19:00:00,154.87,155.0,154.82,154.95,24164
2024-01-22 18:00:00,154.55,154.87,154.48,154.87,157260
2024-01-22 17:00:00,154.63,164.577,146.021,154.5,53638
2024-01-22 16:00:00,154.78,154.79,154.51,154.62,10777073
2024-01-22 15:00:00,154.49,154.93,154.425,154.75,5055557
2024-01-22 14:00:00,154.85,154.88,154.32,154.48,3012457
2024-01-22 13:00:00,154.97,154.99,154.6,154.85,2783184
2024-01-22 12:00:00,155.1,155.26,154.742,154.97,3209345
2024-01-22 11:00:00,154.24,155.16,154.135,155.1,5028193
2024-01-22 10:00:00,155.65,155.72,153.9,154.248,8438218
2024-01-22 09:00:00,156.27,157.25,153.73,155.66,8040143
2024-01-22 08:00:00,156.29,157.0,154.952,156.27,317955
2024-01-22 07:00:00,156.34,157.01,156.15,156.8,145877
2024-01-22 06:00:00,156.17,156.45,156.12,156.35,24160
2024-01-22 05:00:00,156.09,156.31,156.0,156.18,14767
2024-01-22 04:00:00,155.92,156.79,155.36,156.05,25987
2024-01-19 19:00:00,155.16,155.22,155.04,155.13,34437
2024-01-19 18:00:00,155.11,155.34,150.5,155.17,772238
2024-01-19 17:00:00,155.26,155.34,155.1,155.165,2968405
2024-01-19 16:00:00,155.32,155.55,154.612,155.31,14873358
2024-01-19 15:00:00,155.48,155.76,155.2,155.33,7696728
2024-01-19 14:00:00,155.245,155.66,154.988,155.49,4858011
2024-01-19 13:00:00,154.75,155.25,154.52,155.24,4470686
2024-01-19 12:00:00,153.98,154.79,153.74,154.745,5056008
2024-01-19 11:00:00,153.41,153.99,153.3,153.975,4426290
2024-01-19 10:00:00,153.42,153.828,152.74,153.43,5066922
2024-01-19 09:00:00,154.55,154.578,152.97,153.41,7130986
2024-01-19 08:00:00,154.5,154.79,152.28,154.6,184844
2024-01-19 07:00:00,154.56,154.78,154.27,154.73,56512
2024-01-19 06:00:00,154.58,154.62,154.43,154.59,17133
2024-01-19 05:00:00,154.46,154.64,154.37,154.58,13002
2024-01-19 04:00:00,154.1,154.64,153.62,154.47,41288
2024-01-18 19:00:00,153.58,153.75,153.5,153.64,20362
2024-01-18 18:00:00,153.42,153.65,153.37,153.58,28198
2024-01-18 17:00:00,153.44,160.656,153.36,153.37,48014
2024-01-18 16:00:00,153.54,153.61,153.0,153.44,11558616
2024-01-18 15:00:00,153.46,153.69,153.212,153.54,5197833
2024-01-18 14:00:00,152.63,153.49,152.52,153.454,3275065
2024-01-18 13:00:00,152.69,152.76,152.32,152.62,3003832
2024-01-18 12:00:00,153.54,153.58,152.61,152.7,3164016
2024-01-18 11:00:00,153.39,153.775,153.09,153.52,3985198
2024-01-18 10:00:00,152.51,153.61,151.82,153.388,5836249
2024-01-18 09:00:00,152.89,153.54,152.325,152.51,5142658
2024-01-18 08:00:00,153.2,153.53,151.39,152.85,291676
2024-01-18 07:00:00,152.77,153.54,152.76,152.98,205931
2024-01-18 06:00:00,152.45,152.95,152.02,152.76,75868
2024-01-18 05:00:00,152.12,152.51,152.02,152.51,25229
2024-01-18 04:00:00,151.96,152.24,151.56,152.07,27375
2024-01-17 19:00:00,151.66,151.75,151.55,151.74,15969
2024-01-17 18:00:00,151.6,151.77,151.5,151.67,35725
2024-01-17 17:00:00,151.6,151.71,141.922,151.62,51543
2024-01-17 16:00:00,151.68,151.8,143.9,151.599,7503558
