Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-19 09:15:00+05:30,1508.550048828125,1509.9000244140625,1488.800048828125,1489.800048828125,0,0.0,0.0
2024-01-19 10:15:00+05:30,1489.800048828125,1497.25,1482.949951171875,1484.0999755859375,6815317,0.0,0.0
2024-01-19 11:15:00+05:30,1484.1500244140625,1488.0,1482.550048828125,1483.800048828125,4080627,0.0,0.0
2024-01-19 12:15:00+05:30,1483.6500244140625,1485.5999755859375,1480.0,1480.949951171875,5685166,0.0,0.0
2024-01-19 13:15:00+05:30,1480.8499755859375,1481.949951171875,1470.199951171875,1470.199951171875,6964737,0.0,0.0
2024-01-19 14:15:00+05:30,1470.199951171875,1474.800048828125,1468.8499755859375,1470.050048828125,10383649,0.0,0.0
2024-01-19 15:15:00+05:30,1469.949951171875,1474.9000244140625,1469.0,1474.9000244140625,3693271,0.0,0.0
2024-01-23 09:15:00+05:30,1471.800048828125,1472.0,1445.300048828125,1447.3499755859375,6330093,0.0,0.0
2024-01-23 10:15:00+05:30,1447.050048828125,1449.3499755859375,1440.0,1443.550048828125,6228532,0.0,0.0
2024-01-23 11:15:00+05:30,1443.5,1445.449951171875,1425.0,1427.050048828125,7529437,0.0,0.0
2024-01-23 12:15:00+05:30,1427.0999755859375,1436.3499755859375,1427.0,1433.5999755859375,5599809,0.0,0.0
2024-01-23 13:15:00+05:30,1434.0,1440.5,1430.800048828125,1438.050048828125,6974370,0.0,0.0
2024-01-23 14:15:00+05:30,1438.050048828125,1438.5999755859375,1425.0999755859375,1425.6500244140625,8817527,0.0,0.0
2024-01-23 15:15:00+05:30,1425.699951171875,1431.0999755859375,1425.199951171875,1430.8499755859375,3326661,0.0,0.0
2024-01-24 09:15:00+05:30,1392.550048828125,1443.699951171875,1392.550048828125,1441.3499755859375,0,0.0,0.0
2024-01-24 10:15:00+05:30,1441.4000244140625,1452.0,1439.0,1441.25,6234107,0.0,0.0
2024-01-24 11:15:00+05:30,1441.199951171875,1450.800048828125,1432.25,1438.1500244140625,3967400,0.0,0.0
2024-01-24 12:15:00+05:30,1438.3499755859375,1450.9000244140625,1438.1500244140625,1447.199951171875,3463360,0.0,0.0
2024-01-24 13:15:00+05:30,1447.4000244140625,1451.0,1443.0,1444.3499755859375,2839132,0.0,0.0
2024-01-24 14:15:00+05:30,1444.300048828125,1458.4000244140625,1443.0,1455.949951171875,7507422,0.0,0.0
2024-01-24 15:15:00+05:30,1456.0,1458.25,1454.0999755859375,1456.5,1957254,0.0,0.0
2024-01-25 09:15:00+05:30,1453.8499755859375,1453.8499755859375,1437.0,1439.0,0,0.0,0.0
2024-01-25 10:15:00+05:30,1439.050048828125,1439.5,1431.050048828125,1433.8499755859375,4412404,0.0,0.0
2024-01-25 11:15:00+05:30,1433.9000244140625,1435.800048828125,1425.25,1427.199951171875,4757172,0.0,0.0
2024-01-25 12:15:00+05:30,1427.300048828125,1428.800048828125,1424.550048828125,1426.25,4790806,0.0,0.0
2024-01-25 13:15:00+05:30,1426.25,1429.9000244140625,1419.4000244140625,1428.0,6094734,0.0,0.0
2024-01-25 14:15:00+05:30,1428.0,1436.5999755859375,1424.4000244140625,1435.75,12158152,0.0,0.0
2024-01-25 15:15:00+05:30,1435.949951171875,1443.300048828125,1434.9000244140625,1434.9000244140625,6752492,0.0,0.0
